Team1_Team2,Team1_FG_Scored,Team1_FG_Attempted,Team1_FG_Percent,Team2_FG_Scored,Team2_FG_Attempted,Team2_FG_Percent,Team1_2P_Scored,Team1_2P_Attempted,Team1_2P_Percent,Team2_2P_Scored,Team2_2P_Attempted,Team2_2P_Percent,Team1_3P_Scored,Team1_3P_Attempted,Team1_3P_Percent,Team2_3P_Scored,Team2_3P_Attempted,Team2_3P_Percent,Team1_eFG%,Team2_eFG%,Team1_FT_Scored,Team1_FT_Attempted,Team1_FT_Percent,Team2_FT_Scored,Team2_FT_Attempted,Team2_FT_Percent,Team1_ORB,Team2_ORB,Team1_DRB,Team2_DRB,Team1_AST,Team2_AST,Team1_STL,Team2_STL,Team1_BLK,Team2_BLK,Team1_TOV,Team2_TOV,Team1_PF,Team2_PF,Team1_PTS,Team2_PTS,Location,Year,Team 1 Home or Away,Team 2 Home or Away
WesternMichigan_NotreDame,21,59,35.6,29,56,51.8,15,34,44.1,15,25,60,6,25,24,14,31,45.2,40.7,64.3,4,10,40,13,15,86.7,11,5,24,29,7,19,5,5,2,7,12,7,11,9,52,85,Purcell Pavilion,2022,away,away
TexasA&M-CorpusChristi_NotreDame,27,58,46.6,27,55,49.1,19,41,46.3,11,26,42.3,8,17,47.1,16,29,55.2,53.4,63.6,11,17,64.7,13,14,92.9,10,9,19,22,14,21,9,8,3,3,14,14,20,14,73,83,Purcell Pavilion,2022,away,away
NotreDame_Pittsburgh,21,50,42,23,51,45.1,11,28,39.3,18,37,48.6,10,22,45.5,5,14,35.7,52,50,16,17,94.1,16,22,72.7,6,5,26,21,15,12,1,6,1,2,11,6,18,16,68,67,Petersen Events Center,2022,away,home
NorthCarolina_NotreDame,29,59,49.2,29,61,47.5,21,37,56.8,16,30,53.3,8,22,36.4,13,31,41.9,55.9,58.2,7,88,7.5,7,11,63.6,5,1,34,26,10,15,5,7,2,1,14,7,13,8,73,78,Purcell Pavilion,2022,-1,-1
NotreDame_VirginiaTech,26,57,45.6,29,49,59.2,18,37,48.6,19,29,65.5,8,20,40,10,20,50,52.6,69.4,13,18,72.2,11,15,73.3,7,5,18,23,12,13,4,1,0,4,3,10,13,18,73,79,Cassell Coliseum,2022,away,home
NotreDame_Howard,25,48,52.1,24,60,40,19,30,63.3,17,37,45.9,6,18,33.3,7,23,30.4,58.3,45.8,15,19,78.9,13,15,86.7,4,7,29,23,9,15,5,9,1,4,15,9,14,13,71,68,Burr Gymnasium,2022,away,home
NorthCarolinaState_NotreDame,26,61,42.6,22,57,38.6,20,42,47.6,11,29,37.9,6,19,31.6,11,28,39.3,47.5,48.2,7,12,58.3,18,24,75,9,11,28,29,8,14,5,6,1,3,13,11,19,11,65,73,Purcell Pavilion,2022,-1,-1
Virginia_NotreDame,27,59,45.8,22,47,46.8,24,45,53.3,12,24,50,3,14,21.4,10,23,43.5,48.3,57.4,8,12,66.7,15,22,68.2,12,4,27,22,12,16,7,6,2,5,10,8,19,8,65,69,Purcell Pavilion,2022,away,away
NotreDame_Miami(FL),29,63,46,26,60,43.3,23,37,62.2,18,35,51.4,6,26,23.1,8,25,32,50.8,50,4,66,6.7,4,66,6.7,10,7,28,26,20,17,5,5,0,4,6,6,6,12,68,64,Watsco Center,2022,away,home
NotreDame_NorthCarolinaState,27,51,52.9,20,67,29.9,21,34,61.8,13,43,30.2,6,17,35.3,7,24,29.2,58.8,35.1,9,11,81.8,10,14,71.4,4,13,34,21,12,7,5,6,0,4,14,7,13,13,69,57,PNC Arena,2022,-1,-1
NotreDame_WakeForest,24,51,47.1,29,70,41.4,10,20,50,23,53,43.4,14,31,45.2,6,17,35.3,60.8,45.7,12,14,85.7,15,16,93.8,2,16,25,27,13,9,4,7,1,1,15,11,17,16,74,79,Lawrence Joel Veterans Memorial Coliseum,2022,away,home
Syracuse_NotreDame,26,57,45.6,25,62,40.3,20,34,58.8,14,29,48.3,6,23,26.1,11,33,33.3,50.9,49.2,11,15,73.3,18,21,85.7,3,11,25,30,9,19,3,5,4,0,7,7,18,9,0,0,Purcell Pavilion,2022,away,away
