teamName,matches,_FG_Scored,opp_FG_Scored,_FG_Attempted,opp_FG_Attempted,_FG_Percent,opp_FG_Percent,_2P_Scored,opp_2P_Scored,_2P_Attempted,opp_2P_Attempted,_2P_Percent,opp_2P_Percent,_3P_Scored,opp_3P_Scored,_3P_Attempted,opp_3P_Attempted,_3P_Percent,opp_3P_Percent,_eFG%,opp_eFG%,_FT_Scored,opp_FT_Scored,_FT_Attempted,opp_FT_Attempted,_FT_Percent,opp_FT_Percent,_ORB,opp_ORB,_DRB,opp_DRB,_AST,opp_AST,_STL,opp_STL,_BLK,opp_BLK,_TOV,opp_TOV,_PF,opp_PF,_PTS,opp_PTS,SOS,NET
Arizona,26,25.6538,24.2692,57.3846,56.5385,45.0769,43.3038,18.9615,17.1923,39.3846,35.8077,48.6577,47.9385,6.6923,7.0769,26.5,20.7308,34.0154,35.7846,50.9731,49.6269,17.4231,12.9615,23.9615,21.6923,73.1,68.2038,11.7308,8.5385,26.4615,22.6154,15.5,11.2308,5.8462,5.3846,4,2.7692,11.8846,12.3846,17.8077,20.1538,75.4231,68.5769,84,4
ArizonaState,25,26.24,26.84,60.6,58.4,43.408,45.984,19.08,19.16,39.12,37.2,48.612,51.356,7.16,7.68,21.48,23.48,32.732,35.16,49.32,52.44,14.68,15.72,23.44,27.08,70.196,68.68,7.96,10.28,23.92,29.32,13.08,14.92,7.28,5.56,3.28,3.2,10.96,15.2,19.12,18.2,74.32,77.08,55,100
Arkansas,32,29.2188,25.4062,64.75,61.1875,45.1594,41.5875,21.9375,17.6562,42.8125,38.125,51.8094,46.4781,7.2812,7.75,24.5,23.0625,31.5938,32.5094,50.7438,47.9063,15.6562,12.1875,26.0625,21.9375,70.6125,66.1,11.9688,10,27.7812,25.75,14.5312,12.2812,7.8125,6.5312,4.9062,3.625,12.875,15.0938,16.9062,18.9688,81.375,70.75,47,21
Arkansas-PineBluff,25,20.96,27.2,54.24,57.36,38.716,47.54,16.04,19.56,38.24,38.24,41.916,51.6,4.92,7.64,24.84,19.12,28.444,40.064,43.3,54.22,15.12,14.8,23.84,24.68,68.876,64.764,9.8,10.68,22.48,26.2,9.6,16.16,6.4,8.28,3.8,3.8,15.76,12.88,18.2,18.84,61.96,76.84,274,184
ArkansasState,24,25.875,25.3333,57.9167,59.625,44.575,42.5083,19.4583,18.6667,41.1667,39.6667,47.3167,46.9792,6.4167,6.6667,16.75,19.9583,37.5667,34.1792,50.075,48.1917,14.375,12.125,25.75,22.5417,66.5333,69.1042,11.0417,9.9583,26.125,23.625,14.4583,12.25,6.5833,6.7917,2.8333,4.2083,13.0417,12.5,16.0833,17.7083,72.5417,69.4583,167,352
Army,22,26.6818,25.4545,58.3636,58,45.6727,43.9091,18.8636,17.0909,34.4091,34.4545,54.8591,49.3273,7.8182,8.3636,23.9545,23.5455,32.0864,34.8955,52.3591,51.2091,10.5455,10.2273,22.4545,32.4545,56.8545,54.55,8.2273,8.4091,26.2727,26.7273,14.1818,12.7727,6.2727,7,1.4545,3.2727,12.5455,13.7727,15.5455,17.0455,71.7273,69.5,101,279
Auburn,27,26.3333,27.7037,60.2963,63.2593,43.763,43.6037,17.2593,20.3704,32.4815,40.8148,53.2815,49.8704,9.0741,7.3333,27.8148,22.4444,32.0111,32.7074,51.3926,49.3815,15.4444,13.7037,28.3333,23.2963,66.1407,66.6926,12.8889,12.3333,26.4444,24.0741,14.8148,12.5926,6.2222,8.7407,6.037,3.7407,16.2222,13.7037,17.8889,19.8148,77.1852,76.4444,27,13
AustinPeay,27,27.1481,25.4444,59.8889,53.963,45.2741,47.4556,19.963,18.2593,38.6667,33.9259,51.7148,54.537,7.1852,7.1852,21.2222,23.2222,33.7519,34.4,51.2963,54.1074,12.8519,11.9259,18.9259,26.8519,72.2889,60.9148,12.6296,9.2222,21.8519,22.4815,13.2222,11.5556,6.7778,7.7778,2,2.5926,14.7037,16.1481,17.4815,18.1111,74.3333,70,323,289
BallState,23,26.6522,26.5652,60.1739,61.6957,44.2783,43.2304,18.1739,19.3043,35.3913,38.3043,51.3913,50.5565,8.4783,7.2609,24.7826,23.3913,33.8957,31.0957,51.313,49.0652,12.9565,15.087,33.7826,27.4783,60.0348,63.1391,9.9565,11.8261,26.913,25.8696,13.8261,12.5217,5.4783,7.3043,2.3913,2.6087,14.3478,12.5217,19.2174,17.8261,74.7391,75.4783,137,265
Baylor,30,30.5667,23.7,62.8667,54.7333,48.6967,43.3167,20.6,17.5333,38.7333,35.9667,53.5067,48.8667,9.9667,6.1667,24.1333,21.5,41.25,32.2667,56.6333,48.8967,11.8,11.9,20.5333,22.8667,65.3433,62.0333,12.7667,10.2333,23.2333,21.4667,16.9,12.2667,8.9,5.5667,3.7,4.1,11.5,17,17.1,16.4333,82.9,65.4667,50,5
Bellarmine,22,27.9545,23.3636,55,51.9091,50.8864,44.9364,21.4545,14.0909,37.7273,27.3182,56.8727,51.2273,6.5,9.2727,21.0909,24.5909,35.9364,37.4091,56.7864,53.9,11.8636,10.1818,22.5,24.9545,68.1091,63.0409,7.8636,8.1364,22.3182,21.0455,15.5455,13.2727,7.2727,5.3182,2.2727,2.8182,11.1364,15.0909,15.5455,15.8636,74.2727,66.1818,306,197
Belmont,30,29.8,25.7667,60.9667,60.4333,49.1833,42.6067,20.7667,18.3333,34.7333,38.4333,60.1233,47.8067,9.0333,7.4333,26.2333,22,34.6867,33.1767,56.6067,48.76,12.6667,10.1667,28.2333,29.2333,65.28,55.3033,8.8,10.2333,26.9333,24.9,18.2,12.8667,7.7333,6.3,2.8667,3.6667,12.0333,14.7,14.6,16.3333,81.3,69.1333,337,79
Binghamton,18,23.8889,25.8889,57.7222,57.6111,42.0944,45.2389,15.2222,18.2778,31.5,36.8889,48.9111,49.9778,8.6667,7.6111,26.2222,20.7222,34.3,37.3,49.7333,51.9167,9,12.9444,22,18.0556,61.4444,71.7444,10.6111,9.5,24.7778,25.8333,11.0556,12.0556,5,6.7222,3.0556,2.5,13.8889,10.8889,17.0556,15.7222,65.4444,72.3333,296,294
