teamName,matches,_FG_Scored,opp_FG_Scored,_FG_Attempted,opp_FG_Attempted,_FG_Percent,opp_FG_Percent,_2P_Scored,opp_2P_Scored,_2P_Attempted,opp_2P_Attempted,_2P_Percent,opp_2P_Percent,_3P_Scored,opp_3P_Scored,_3P_Attempted,opp_3P_Attempted,_3P_Percent,opp_3P_Percent,_eFG%,opp_eFG%,_FT_Scored,opp_FT_Scored,_FT_Attempted,opp_FT_Attempted,_FT_Percent,opp_FT_Percent,_ORB,opp_ORB,_DRB,opp_DRB,_AST,opp_AST,_STL,opp_STL,_BLK,opp_BLK,_TOV,opp_TOV,_PF,opp_PF,_PTS,opp_PTS
NonDivI-HowardPayne,2,14.0,40.0,57.0,71.5,24.8,56.0,7.5,31.5,32.5,45.5,23.5,69.3,6.5,8.5,24.5,26.0,26.6,32.5,30.65,62.05,9.0,15.0,12.0,18.0,74.1,81.25,11.0,17.0,15.0,33.0,6.0,21.5,8.5,13.5,1.5,4.0,23.0,12.5,15.5,15.5,43.5,103.5
Longwood,33,26.4545,23.8788,58.5455,55.0909,45.3394,43.4182,18.303,16.2121,36.9697,31.1515,49.3,52.197,8.1515,7.6667,21.5758,23.9394,38.6788,31.7333,52.4333,50.297,14.6667,10.3333,24.2727,34.4242,66.2848,52.6788,12.0303,7.6364,24.8485,22.7879,14.0606,11.9394,7.7879,5.7879,2.3939,3.7273,12.0909,14.1515,15.4242,18.2121,75.7273,65.7576
UtahValley,32,24.9375,23.75,54.9062,60.3125,45.6156,39.5344,18.5625,17.3438,37.6875,37.75,49.8125,46.4813,6.375,6.4062,19.8125,25.0938,36.3219,27.9438,51.5063,44.8531,14.9688,11.2188,24.7812,26.5938,67.2687,57.8781,10.9375,9.8438,29.4688,22.25,14.8438,12.1562,5.4688,7.7188,4.4688,3.125,15.4688,11.1562,16.8438,19.8438,71.2188,65.125
DixieState,31,25.6452,27.0,60.1935,62.3226,42.471,43.7742,18.5806,19.4516,37.6774,38.4516,49.4516,51.0484,7.0645,7.5484,22.5161,23.871,30.5355,32.8742,48.2742,49.8903,14.129,12.5161,24.0968,22.5806,63.529,64.4,10.7742,10.5806,27.5484,27.0968,15.4516,14.5161,6.7097,8.2258,2.4194,4.0968,15.0323,13.7419,18.8387,19.9355,72.4839,74.0645
StephenF.Austin,32,27.4062,23.625,57.7812,55.125,47.4844,42.8688,21.5,16.8438,39.9062,34.1562,53.9937,49.4875,5.9062,6.7812,24.625,20.9688,30.65,32.2125,52.7312,49.0375,13.8125,14.4062,23.375,26.3125,62.6375,63.95,11.75,10.9375,23.4688,21.8438,15.0312,12.5312,9.0625,7.1875,4.0625,3.5625,16.4375,18.0312,19.7188,19.2188,74.5312,68.4375
SamHoustonState,33,25.6364,21.5152,60.0606,52.6667,42.8879,41.0848,16.9394,14.4242,34.697,30.1515,49.0515,47.8333,8.697,7.0909,25.3636,22.5152,34.1,32.2273,50.2333,47.8818,8.8788,12.9697,30.9394,23.0606,47.5091,65.6091,11.8485,8.4242,25.5152,25.6061,14.0606,12.0,7.5455,5.7576,2.4242,2.4242,12.5758,14.697,18.0,15.7879,68.8485,63.0909
GrandCanyon,31,25.2903,21.7742,58.7742,56.5161,43.3839,38.8032,17.129,16.4516,35.5484,37.0323,48.7,44.529,8.1613,5.3226,23.2258,19.4839,35.2032,26.429,50.4065,43.5806,12.3548,12.3548,23.2581,23.4194,63.1903,63.4613,12.8387,10.5161,27.4516,23.6129,12.7742,9.3871,6.6452,5.8065,2.1613,3.0323,13.0,13.0,17.7742,17.6129,71.0968,61.2258
NewMexicoState,34,25.5588,22.5882,56.2647,58.1176,45.4088,39.0029,17.6765,15.1176,32.3824,33.3235,54.4559,45.7059,7.8824,7.4706,23.8824,24.7941,33.0971,30.5912,52.4706,45.5294,13.5,11.9706,26.7353,25.2059,60.3118,64.2676,10.9706,9.1176,27.2059,21.9706,13.6765,11.2353,5.0,6.8824,4.0588,2.0588,14.0588,11.9412,15.8529,18.7941,72.5,64.6176
SeattleUniversity,32,25.875,22.7188,62.0938,56.4688,41.7094,40.4031,16.25,16.25,33.75,35.875,48.3031,45.9219,9.625,6.4688,28.3438,22.625,33.9687,30.8156,49.425,46.1812,13.4062,14.7188,28.2188,26.4375,66.5531,62.6594,9.9375,9.2812,27.6562,27.75,13.6562,11.75,6.875,5.5938,3.625,3.4062,11.5938,14.6562,20.5312,17.6562,74.7812,66.625
CaliforniaBaptist,34,24.4412,24.0882,55.8824,58.0588,43.8294,41.6559,16.4412,17.9706,31.9706,38.7941,51.9441,46.7794,8.0,6.1176,23.9118,27.7059,33.4353,28.7206,50.9941,46.9029,13.7647,12.8824,29.1176,23.0588,58.8324,60.9824,10.0588,9.7647,27.0,24.7647,15.9118,12.5294,5.1765,6.2647,2.7353,2.0588,13.9118,12.2941,18.4412,19.4706,70.6471,67.1765
UTRGV,31,24.4839,27.6452,55.5484,61.9355,44.3097,44.971,18.1613,19.8387,34.7742,37.5806,53.0903,53.9258,6.3226,7.8065,20.7742,24.3548,30.8032,31.6484,50.0355,51.3161,16.0645,15.4839,23.129,27.871,68.8645,65.7323,8.871,12.7097,25.6452,25.9677,12.2258,16.7419,5.2258,6.9677,3.1935,3.2581,15.3871,13.1613,20.0,20.6129,71.3548,78.5806
